1,Ford,F34,5,GH6574
2,BMW,B67,5,UJ7689
3,Audi,A67,7,YH7890
4,Honda,H85,5,SD5214
5,Toyoto,T24,5,RF6325
6,Tesla,T36,5,RF8574
7,Ford,F78,2,BG6520
8,BMW,B11,5,BV5874
9,Audi,A05,7,OP1122
10,Honda,H96,5,VF3359
11,Toyoto,T55,7,SX5710
12,Tesla,T30,5,FG5692
13,Ford,F37,5,BV1420
14,BMW,B60,7,AW4102
15,Audi,A64,5,WS3201
16,Honda,H96,7,DF1169
17,Toyoto,T47,2,MN2036
18,Tesla,T76,2,CV9513
19,Ford,F35,5,YH7531
20,BMW,B74,5,IU1593
21,Audi,A75,7,QW3571
22,Honda,H97,5,XC0159
23,Toyoto,T54,5,SZ5301
24,Tesla,T24,5,DC0000
25,Ford,F36,2,QW4444
26,BMW,B69,5,GV2525
27,Audi,A69,7,YG7474
28,Honda,H87,5,AZ9696
29,Toyoto,T79,7,WS8585
30,Tesla,T89,5,VC3636
31,Ford,F88,5,XC0202
32,BMW,B17,7,AZ1401
33,Audi,A08,5,SX7575
34,Honda,H96,7,CV1212
35,Toyoto,T47,2,ED9513
36,Tesla,T76,2,QW4545
37,Ford,F35,5,OK3737
38,BMW,B74,5,KJ9191
39,Audi,A75,7,DF1471
40,Honda,H84,5,GN2582
41,Toyoto,T93,5,CG9385
42,Tesla,T13,5,CM0404
43,Ford,F82,2,SC5050
44,BMW,B12,5,RF9090
45,Audi,A01,7,FG8888
46,Honda,H91,5,AD9999
47,Toyoto,T96,7,RF8888
48,Tesla,T15,5,RV7777
49,Ford,F36,5,TB0789
50,BMW,B78,7,ME4630
